org,address,DBA or Program Name (if Applicable),Organization Address,Borough,Website (if Available),Phone Number,Organization Type,Mission Statement or Organizational Summary,Population Served,Types of Services Provided,Description of Programs or Service Opportunities Available to Participants,Hours of Operation and Participant Schedule,Service Location(s),Expected Participant Activities/Duties
"New York Common Pantry, Inc.","8 E 109th St, New York, NY 10029",New York Common Pantry,"8 E 109th St, New York, NY 10029",Manhattan,https://nycommonpantry.org,(917) 720-9712,501(c)(3) Nonprofit,"New York Common Pantry reduces hunger while promoting dignity, health and self-sufficiency.",Adults 25+; Older Adults 50+; Individuals with disabilities; SNAP/Employment Program Participants,Food pantry/meal service,"Volunteering to pack pantry bags, stock pantry, meal preparation",10-2 Monday - Saturday,"8 East 109th Street, 1290 Hoe Avenue","Taking client orders, packing bags, stocking pantry, preparing meals"
"New York Common Pantry, Inc.","1290 Hoe Avenue, New York, NY",New York Common Pantry,"1290 Hoe Avenue, New York, NY",Manhattan,https://nycommonpantry.org,(917) 720-9712,501(c)(3) Nonprofit,"New York Common Pantry reduces hunger while promoting dignity, health and self-sufficiency.",Adults 25+; Older Adults 50+; Individuals with disabilities; SNAP/Employment Program Participants,Food pantry/meal service,"Volunteering to pack pantry bags, stock pantry, meal preparation",10-2 Monday - Saturday,"8 East 109th Street, 1290 Hoe Avenue","Taking client orders, packing bags, stocking pantry, preparing meals"
New York School of Urban Ministry Inc,31-65 46th Street Astoria NY 11103,,31-65 46th Street Astoria NY 11103,Queens,,(646) 744-6900,501(c)(3) Nonprofit,Provide Transitional housing and faith based studies.,Adults 25+; SNAP/Employment Program Participants,Community service/volunteer opportunities; Administrative/office support,Learning residential assistant skills.,9am-5pm Residence oPEN 24/7,31-65 46th Street Astoria NY 11103,Front desk duties
NYC Department of Health & Mental Hygiene,"42-09 28th St, Long Island City, NY 11101",PHC Ambassadors Program,"42-09 28th St, Long Island City, NY 11101",Queens,,(646) 841-3210,Government Agency,"The New York City Department of Health and Mental Hygiene (DOHMH) will partner with community-based and faith-based organizations (C/FBOs) to implement the Public Health Corps (PHC) Ambassadors Program. The PHC Ambassadors Program seeks to train New Yorkers to volunteer as trusted health messengers, sharing accurate public health information in their communities, and directly addressing misinformation, persistent health inequities, and emerging public health crises.

To achieve this, the DOHMH will partner with C/FBOs across the five boroughs to establish a network of approximately 200 volunteer ambassadors. Building on evidence-based models of community resilience and trusted-messenger frameworks, the C/FBOs will recruit, train, and support volunteers to deliver community outreach, education, and culturally relevant health information. Volunteers will be prepared to serve as rapid responders during public health emergencies by distributing pre-approved health messages, materials, and resources.

The C/FBOs shall engage volunteer New Yorkers residing in priority geographical neighborhoods or areas, as well as individuals with limited English proficiency and individuals enrolled in Medicare or Medicaid. The C/FBOs will also offer services to community members who identify as part of other racial, ethnic, linguistic, or social groups.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants,Community service/volunteer opportunities; Education or training,Participants have the ability to volunteer as trusted health messengers in their communities. They receive health related trainings. The program seeks to establish a corps of trained volunteers who can be activated during health emergencies. They will deliver accurate and real time information to their communities.,14 hours,Priority Neighborhoods,Not provided
Ocean Bay Community Development Corporation,"434 Beach 54th Street Arverne, N.Y. 11692",,"434 Beach 54th Street Arverne, N.Y. 11692",Queens,https://oceanbaycdc.com,(864) 384-5712,501(c)(3) Nonprofit,"Ocean Bay Community Development Corporation (OBCDC) is dedicated to strengthening and empowering residents of Far Rockaway and surrounding communities by delivering comprehensive, community-driven services that promote housing stability, economic mobility, health equity, youth development, and overall well-being.

For over 25 years, OBCDC has served as a trusted anchor for the Rockaway peninsula, providing wrap-around support to families, youth, and older adults. Through our Older Adult Center, Family Enrichment Center (The B.R.I.D.G.E.), and Ocean Bay Community Center, which houses our Workforce Development programs and Computer Lab, we deliver integrated services that meet residents where they are.

Our work includes housing navigation and rent assistance; benefits and public assistance enrollment; workforce development and career training; volunteer engagement opportunities; youth empowerment and after-school programming; older adult services; civic engagement initiatives; health education and chronic disease prevention; digital and financial literacy; and free transportation services that prioritize access to medical care, food, and other essential resources.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants; NYCHA residents in the Far Rockaway Community,Community service/volunteer opportunities; Education or training; Shelter/housing support; Administrative/office support; Arts/recreation; Food pantry/meal service,"OBCDC offers voluntary, skill-building services and workforce development opportunities across our Older Adult Center, Family Enrichment Center (The B.R.I.D.G.E.), and Ocean Bay Community Center, which houses our Workforce Development program. Individuals may self-enroll in community service activities that support youth programming, older adult services, food pantry, administrative tasks, flyering and outreach, community events, civic engagement initiatives, and arts and recreation programming. These structured activities can help fulfill engagement or compliance requirements while allowing participants flexibility in selecting opportunities that match their interests and skills.

Participants may also enroll in workforce training programs and earn certifications such as OSHA, Project Management, Cybersecurity, Google Career Certificates, ESL, and GED preparation. Through hands-on experience and career readiness support, individuals build practical skills, strengthen their resumes, and increase employment opportunities.","Offices are open Monday through Friday, from 8: 30 am until 4: 30 p.m. with an opportunity to volunteer at our pantry on alternate weekends from 9 am to Nooon","434 Beach 54th street Arverne, N.Y. 11692, 5717 Shorefront Parkway, Arverne, N.Y. 11692 and 5710 Beach Channel Drive, Arverne, N.Y. 11692","Participants may engage in voluntary service and skill-building activities across OBCDC?s Older Adult Center, Family Enrichment Center (The B.R.I.D.G.E.), and Ocean Bay Community Center. Duties may include:

? Assisting with youth programming and after-school activities
? Supporting older adult services and congregate meal distribution
? Helping with food pantry organization and distribution
? Providing administrative and office support (filing, data entry, outreach calls)
? Flyering and conducting community outreach
? Assisting with community events and workshops
? Supporting housing navigation and resource referrals (non-clinical assistance)
? Participating in civic engagement and community awareness initiatives
? Assisting with arts, recreation, and enrichment activities

Participants are expected to demonstrate professionalism, reliability, punctuality, and respectful communication while completing assigned service hours. Opportunities are structured yet flexible and designed to build transferable workplace skills."
Ocean Bay Community Development Corporation,"5717 Shorefront Parkway, Arverne, NY. 11692",,"5717 Shorefront Parkway, Arverne, NY. 11692",Queens,https://oceanbaycdc.com,(864) 384-5712,501(c)(3) Nonprofit,"Ocean Bay Community Development Corporation (OBCDC) is dedicated to strengthening and empowering residents of Far Rockaway and surrounding communities by delivering comprehensive, community-driven services that promote housing stability, economic mobility, health equity, youth development, and overall well-being.

For over 25 years, OBCDC has served as a trusted anchor for the Rockaway peninsula, providing wrap-around support to families, youth, and older adults. Through our Older Adult Center, Family Enrichment Center (The B.R.I.D.G.E.), and Ocean Bay Community Center, which houses our Workforce Development programs and Computer Lab, we deliver integrated services that meet residents where they are.

Our work includes housing navigation and rent assistance; benefits and public assistance enrollment; workforce development and career training; volunteer engagement opportunities; youth empowerment and after-school programming; older adult services; civic engagement initiatives; health education and chronic disease prevention; digital and financial literacy; and free transportation services that prioritize access to medical care, food, and other essential resources.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants; NYCHA residents in the Far Rockaway Community,Community service/volunteer opportunities; Education or training; Shelter/housing support; Administrative/office support; Arts/recreation; Food pantry/meal service,"OBCDC offers voluntary, skill-building services and workforce development opportunities across our Older Adult Center, Family Enrichment Center (The B.R.I.D.G.E.), and Ocean Bay Community Center, which houses our Workforce Development program. Individuals may self-enroll in community service activities that support youth programming, older adult services, food pantry, administrative tasks, flyering and outreach, community events, civic engagement initiatives, and arts and recreation programming. These structured activities can help fulfill engagement or compliance requirements while allowing participants flexibility in selecting opportunities that match their interests and skills.

Participants may also enroll in workforce training programs and earn certifications such as OSHA, Project Management, Cybersecurity, Google Career Certificates, ESL, and GED preparation. Through hands-on experience and career readiness support, individuals build practical skills, strengthen their resumes, and increase employment opportunities.","Offices are open Monday through Friday, from 8: 30 am until 4: 30 p.m. with an opportunity to volunteer at our pantry on alternate weekends from 9 am to Nooon","434 Beach 54th street Arverne, N.Y. 11692, 5717 Shorefront Parkway, Arverne, N.Y. 11692 and 5710 Beach Channel Drive, Arverne, N.Y. 11692","Participants may engage in voluntary service and skill-building activities across OBCDC?s Older Adult Center, Family Enrichment Center (The B.R.I.D.G.E.), and Ocean Bay Community Center. Duties may include:

? Assisting with youth programming and after-school activities
? Supporting older adult services and congregate meal distribution
? Helping with food pantry organization and distribution
? Providing administrative and office support (filing, data entry, outreach calls)
? Flyering and conducting community outreach
? Assisting with community events and workshops
? Supporting housing navigation and resource referrals (non-clinical assistance)
? Participating in civic engagement and community awareness initiatives
? Assisting with arts, recreation, and enrichment activities

Participants are expected to demonstrate professionalism, reliability, punctuality, and respectful communication while completing assigned service hours. Opportunities are structured yet flexible and designed to build transferable workplace skills."
Ocean Bay Community Development Corporation,"5710 Beach Channel Drive, Arverne, NY. 11692",,"5710 Beach Channel Drive, Arverne, NY. 11692",Queens,https://oceanbaycdc.com,(864) 384-5712,501(c)(3) Nonprofit,"Ocean Bay Community Development Corporation (OBCDC) is dedicated to strengthening and empowering residents of Far Rockaway and surrounding communities by delivering comprehensive, community-driven services that promote housing stability, economic mobility, health equity, youth development, and overall well-being.

For over 25 years, OBCDC has served as a trusted anchor for the Rockaway peninsula, providing wrap-around support to families, youth, and older adults. Through our Older Adult Center, Family Enrichment Center (The B.R.I.D.G.E.), and Ocean Bay Community Center, which houses our Workforce Development programs and Computer Lab, we deliver integrated services that meet residents where they are.

Our work includes housing navigation and rent assistance; benefits and public assistance enrollment; workforce development and career training; volunteer engagement opportunities; youth empowerment and after-school programming; older adult services; civic engagement initiatives; health education and chronic disease prevention; digital and financial literacy; and free transportation services that prioritize access to medical care, food, and other essential resources.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants; NYCHA residents in the Far Rockaway Community,Community service/volunteer opportunities; Education or training; Shelter/housing support; Administrative/office support; Arts/recreation; Food pantry/meal service,"OBCDC offers voluntary, skill-building services and workforce development opportunities across our Older Adult Center, Family Enrichment Center (The B.R.I.D.G.E.), and Ocean Bay Community Center, which houses our Workforce Development program. Individuals may self-enroll in community service activities that support youth programming, older adult services, food pantry, administrative tasks, flyering and outreach, community events, civic engagement initiatives, and arts and recreation programming. These structured activities can help fulfill engagement or compliance requirements while allowing participants flexibility in selecting opportunities that match their interests and skills.

Participants may also enroll in workforce training programs and earn certifications such as OSHA, Project Management, Cybersecurity, Google Career Certificates, ESL, and GED preparation. Through hands-on experience and career readiness support, individuals build practical skills, strengthen their resumes, and increase employment opportunities.","Offices are open Monday through Friday, from 8: 30 am until 4: 30 p.m. with an opportunity to volunteer at our pantry on alternate weekends from 9 am to Nooon","434 Beach 54th street Arverne, N.Y. 11692, 5717 Shorefront Parkway, Arverne, N.Y. 11692 and 5710 Beach Channel Drive, Arverne, N.Y. 11692","Participants may engage in voluntary service and skill-building activities across OBCDC?s Older Adult Center, Family Enrichment Center (The B.R.I.D.G.E.), and Ocean Bay Community Center. Duties may include:

? Assisting with youth programming and after-school activities
? Supporting older adult services and congregate meal distribution
? Helping with food pantry organization and distribution
? Providing administrative and office support (filing, data entry, outreach calls)
? Flyering and conducting community outreach
? Assisting with community events and workshops
? Supporting housing navigation and resource referrals (non-clinical assistance)
? Participating in civic engagement and community awareness initiatives
? Assisting with arts, recreation, and enrichment activities

Participants are expected to demonstrate professionalism, reliability, punctuality, and respectful communication while completing assigned service hours. Opportunities are structured yet flexible and designed to build transferable workplace skills."
One way church of Christ,"216-11 Merrick Blvd, Laurelton, NY 11413",One way church of Christ food pantry,"216-11 Merrick Blvd, Laurelton, NY 11413",Queens,https://onewaychurch.com,(516) 841-8283,501(c)(3) Nonprofit,"To meet the physical, spiritual, and mental needs of individuals empowering them to become an integral person of society.",Youth 14-24; Adults 25+; Older Adults 50+; Individuals with disabilities; SNAP/Employment Program Participants,Community service/volunteer opportunities; Food pantry/meal service; Education or training,"Assist in unpacking, repacking, restocking shelves, assist in client intake, distributing food, cleaning.",Fridays 9am-1pm and Saturdays 10am-1pm,216-11 Merrick Blvd Laurelton ny,See #16 above.
"Opportunities for a Better Tomorrow, Inc.","832 3rd Avenue, Suite 10-10NE, Brooklyn, NY 11232",OBT,"832 3rd Avenue, Suite 10-10NE, Brooklyn, NY 11232",Brooklyn,https://obtjobs.org,(718) 387-1600 x1115,501(c)(3) Nonprofit,"Our mission at Opportunities for a Better Tomorrow (OBT) is to break the cycle of poverty and inequity through education, job training, and employment.",Youth 14-24; Adults 25+; justice-involved individuals; SNAP/Employment Program Participants,Education or training,"We have youth employment programs for 18-24 years offering HSE classes, as well as credential courses in construction, technology, and health care for those with their high school diploma or HSE. We have HSE and ESOL courses for individuals 18 plus who seek to make educational gains in these areas.",Youth Employment 9 AM - 3 PM and Adult Literacy classes from 9 AM to 8 PM,"Sunset Park technology credentialing, construction credentialing; HSE, ESOL and Bushwick ESOL, HSE, health care credenitaling","Attend classes from 2 - 5 days per week depending on track, engage in paid internships in youth employment credentialing tracks, engage in job placement for all tracks"
"Opportunities for a Better Tomorrow, Inc.","25 Thorton Street, Brooklyn, NY 11206",OBT,"25 Thorton Street, Brooklyn, NY 11206",Brooklyn,https://obtjobs.org,(718) 387-1600 x1115,501(c)(3) Nonprofit,"Our mission at Opportunities for a Better Tomorrow (OBT) is to break the cycle of poverty and inequity through education, job training, and employment.",Youth 14-24; Adults 25+; justice-involved individuals; SNAP/Employment Program Participants,Education or training,"We have youth employment programs for 18-24 years offering HSE classes, as well as credential courses in construction, technology, and health care for those with their high school diploma or HSE. We have HSE and ESOL courses for individuals 18 plus who seek to make educational gains in these areas.",Youth Employment 9 AM - 3 PM and Adult Literacy classes from 9 AM to 8 PM,"Sunset Park technology credentialing, construction credentialing; HSE, ESOL and Bushwick ESOL, HSE, health care credenitaling","Attend classes from 2 - 5 days per week depending on track, engage in paid internships in youth employment credentialing tracks, engage in job placement for all tracks"
Opus 1 Foundation,"Next PAGE: 801 Amsterdam Ave. New York, NY 10025",Next PAGE,"Next PAGE: 801 Amsterdam Ave. New York, NY 10025",Manhattan,https://opus1foundation.org; https://nextpageworkshop.com,(845) 596-6748,501(c)(3) Nonprofit,"Opus 1 Foundation is a 501(c)(3) Nonprofit activating systemic, sustainable and scalable solutions to social, economic, and environmental challenges through the power of the arts, advancing opportunities for greater equity, inclusion and innovation worldwide.

Next PAGE is a literacy Nonprofit providing trauma-informed creative writing workshops to incarcerated and formerly incarcerated youth in New York City. The program builds communication skills, supports self-expression and helps participants develop agency over their own stories through structured, arts-based education. By addressing low literacy rates and fostering creative and professional skills, Next PAGE supports pathways toward reentry and long-term stability.",Youth 14-24,Education or training; Arts/recreation,"Next PAGE, under fiscal sponsorship of Opus 1 Foundation, provides structured, supervised community service and workforce development programming through trauma-informed literacy and educational programming for justice-involved youth in New York City.

The participant currently enrolled through PACE is engaged in ongoing, scheduled service at Getting Out and Staying Out (GOSO), where they provide weekly instructional programming and program development support. This work is not informal volunteering, but a structured, skill-based service role that includes the following core responsibilities:

-Planning and facilitating weekly educational workshops for young people (ages 17?24), including lesson design, curriculum development and instructional delivery
-Supporting literacy development, communication skills and workforce readiness through writing-based programming
-Coordinating with program partners (GOSO, Administration for Children?s Services) to align programming with participant needs and institutional requirements
-Tracking attendance, engagement and program outcomes for reporting and evaluation purposes
-Participating in ongoing program development, including adapting curriculum based on student progress and feedback
-Supporting broader program operations, including preparation of materials, documentation and partnership coordination

The participant?s service is supervised through both the host site (GOSO) and the fiscal sponsor (Opus 1 Foundation), with consistent expectations, defined responsibilities and regular participation.

This opportunity directly aligns with ABAWD requirements, as it constitutes structured community service and workforce development activity that builds transferable skills in education, program management, communication, data tracking and partnership coordination.

The participant?s weekly service hours (estimated at 20 hours) are consistent and can be tracked and documented through attendance logs and program records. This work is ongoing and designed to meet or exceed required ABAWD participation thresholds when combined with additional related program development and administrative responsibilities.

Importantly, this service is already being performed at a high level and is central to the participant?s professional development and pathway toward employment in education, Nonprofit programming and workforce development. Recognition of this work toward ABAWD requirements is essential to avoid duplication of service hours and to ensure compliance without disrupting an already structured, supervised and outcomes-driven program.

This is not a supplemental or optional activity, but a core, consistent service role that should be recognized as qualifying community service under ABAWD guidelines.","Next PAGE operates Monday through Friday, with structured on-site programming taking place on Wednesdays at the GOSO site. The participant engages in a combination of on-site instruction and off-site program work, including curriculum development, lesson preparation, instructional delivery, student feedback and program coordination. These activities are performed on a consistent weekly schedule and total approximately 20 or more hours per week. All hours are tied to defined program responsibilities and can be tracked through attendance records, program schedules and deliverables associated with each class cycle.","Next PAGE program operations are based out of its headquarters (801 Amsterdam Ave. New York, NY), with primary on-site service delivery taking place at Getting Out and Staying Out (GOSO), located at 201A East 124th Street, New York, NY. Additional program work, including curriculum development, lesson preparation, editing and administrative coordination, is conducted off-site in alignment with program requirements.","The participant engages in structured, supervised community service activities through Next PAGE programming, including:
-Designing and developing weekly lesson plans and curriculum for literacy-based educational programming
-Facilitating and leading instructional workshops for young people at the GOSO site
-Preparing class materials and coordinating session logistics in advance of each workshop
-Providing individualized feedback on student writing and supporting skill development in literacy, communication and critical thinking
-Tracking attendance, participation and student progress for program evaluation and reporting
-Coordinating with partner organizations (GOSO and Administration for Children?s Services) to align programming with participant needs and institutional requirements
-Participating in ongoing program development, including adapting curriculum and content based on classroom outcomes
-Completing administrative tasks related to program implementation, including documentation, scheduling and communication with partners

All activities are performed on a consistent weekly schedule and are supervised through program leadership and partner organizations. Duties are tied to measurable outputs, including lesson plans, completed workshops and documented student engagement."
Opus 1 Foundation,"201A East 124th Street, New York, NY 10035",Next PAGE,"201A East 124th Street, New York, NY 10035",Manhattan,https://opus1foundation.org; https://nextpageworkshop.com,(845) 596-6748,501(c)(3) Nonprofit,"Opus 1 Foundation is a 501(c)(3) Nonprofit activating systemic, sustainable and scalable solutions to social, economic, and environmental challenges through the power of the arts, advancing opportunities for greater equity, inclusion and innovation worldwide.

Next PAGE is a literacy Nonprofit providing trauma-informed creative writing workshops to incarcerated and formerly incarcerated youth in New York City. The program builds communication skills, supports self-expression and helps participants develop agency over their own stories through structured, arts-based education. By addressing low literacy rates and fostering creative and professional skills, Next PAGE supports pathways toward reentry and long-term stability.",Youth 14-24,Education or training; Arts/recreation,"Next PAGE, under fiscal sponsorship of Opus 1 Foundation, provides structured, supervised community service and workforce development programming through trauma-informed literacy and educational programming for justice-involved youth in New York City.

The participant currently enrolled through PACE is engaged in ongoing, scheduled service at Getting Out and Staying Out (GOSO), where they provide weekly instructional programming and program development support. This work is not informal volunteering, but a structured, skill-based service role that includes the following core responsibilities:

-Planning and facilitating weekly educational workshops for young people (ages 17?24), including lesson design, curriculum development and instructional delivery
-Supporting literacy development, communication skills and workforce readiness through writing-based programming
-Coordinating with program partners (GOSO, Administration for Children?s Services) to align programming with participant needs and institutional requirements
-Tracking attendance, engagement and program outcomes for reporting and evaluation purposes
-Participating in ongoing program development, including adapting curriculum based on student progress and feedback
-Supporting broader program operations, including preparation of materials, documentation and partnership coordination

The participant?s service is supervised through both the host site (GOSO) and the fiscal sponsor (Opus 1 Foundation), with consistent expectations, defined responsibilities and regular participation.

This opportunity directly aligns with ABAWD requirements, as it constitutes structured community service and workforce development activity that builds transferable skills in education, program management, communication, data tracking and partnership coordination.

The participant?s weekly service hours (estimated at 20 hours) are consistent and can be tracked and documented through attendance logs and program records. This work is ongoing and designed to meet or exceed required ABAWD participation thresholds when combined with additional related program development and administrative responsibilities.

Importantly, this service is already being performed at a high level and is central to the participant?s professional development and pathway toward employment in education, Nonprofit programming and workforce development. Recognition of this work toward ABAWD requirements is essential to avoid duplication of service hours and to ensure compliance without disrupting an already structured, supervised and outcomes-driven program.

This is not a supplemental or optional activity, but a core, consistent service role that should be recognized as qualifying community service under ABAWD guidelines.","Next PAGE operates Monday through Friday, with structured on-site programming taking place on Wednesdays at the GOSO site. The participant engages in a combination of on-site instruction and off-site program work, including curriculum development, lesson preparation, instructional delivery, student feedback and program coordination. These activities are performed on a consistent weekly schedule and total approximately 20 or more hours per week. All hours are tied to defined program responsibilities and can be tracked through attendance records, program schedules and deliverables associated with each class cycle.","Next PAGE program operations are based out of its headquarters (801 Amsterdam Ave. New York, NY), with primary on-site service delivery taking place at Getting Out and Staying Out (GOSO), located at 201A East 124th Street, New York, NY. Additional program work, including curriculum development, lesson preparation, editing and administrative coordination, is conducted off-site in alignment with program requirements.","The participant engages in structured, supervised community service activities through Next PAGE programming, including:
-Designing and developing weekly lesson plans and curriculum for literacy-based educational programming
-Facilitating and leading instructional workshops for young people at the GOSO site
-Preparing class materials and coordinating session logistics in advance of each workshop
-Providing individualized feedback on student writing and supporting skill development in literacy, communication and critical thinking
-Tracking attendance, participation and student progress for program evaluation and reporting
-Coordinating with partner organizations (GOSO and Administration for Children?s Services) to align programming with participant needs and institutional requirements
-Participating in ongoing program development, including adapting curriculum and content based on classroom outcomes
-Completing administrative tasks related to program implementation, including documentation, scheduling and communication with partners

All activities are performed on a consistent weekly schedule and are supervised through program leadership and partner organizations. Duties are tied to measurable outputs, including lesson plans, completed workshops and documented student engagement."
PEREZ CAPELLAN HOUSE OF WORSHIP,"551 WEST 157TH STREET, New York, NY 10032",,"551 WEST 157TH STREET, New York, NY 10032",Manhattan,,(347) 444-0653,501(c)(3) Nonprofit,"AN EDUCATIONAL, COMMUNITY SERVICES AND HOUSING DEVELOPMENT.

VISION:

OUR MEMBERS AND FAMILIES AND INDIVIDUALS FACING FINANCIAL HARDSHIP, SEARCHING FOR A PLACE TO DOMICILE AND REST.

VALUES:

THE RIGHT TO LIFE, RIGHT OF USAGE AND THE ENJOYMENT OF LIFE ARE FUNDAMENTAL PRINCIPLES EACH MAN AND WOMAN DESERVES. LIFE IS PRECIOUS AND INVALUABLE AND NO ONE SHOULD BE HOMELESS.

MISSION:

ACQUISITION OF PROPERTY AND LAND TO BUILD AND TO HOUSE THE HOMELESS. TO ASSIST THE FEDERAL, STATE AND LOCAL GOVERNMENT IN BUILDING LOW INCOME AND AFFORDABLE HOMES AND APARTMENT BUILDINGS. TO CREATE JOBS AND BOOST THE ECONOMY.",Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants; ALL OTHERS available,Community service/volunteer opportunities; Education or training; Shelter/housing support; Administrative/office support; Arts/recreation,"SHELTER HOUSING, ARTS AND RECREATION, TRAINING AND EDUCATION. TO LEARN AND EDUCATE THE INDIVIDUALS ABOUT CIVICS AND BUSINESS AND CARRERS PREPARATION.",9AM TO 5PM... ONE DAY PER WEEK CLIENTS PARTICIPATION.,MANHATTAN,VISITS AND ALL APPOINTMENTS SHALL BE DONT WITH THE CLASS ACTIVITIES AS WE ENGAGE IN LEQRNINF AND EDUCATING HOW TO NAVIGATE INFORMATION SUCCESSFULLY.
Philanthropy Leaders,"239 East 5 Street, Brooklyn, NY 11218","Wanllan Mi Wanlle (WMW), meaning ""Help Me, I Help You"" in Fulani,","239 East 5 Street, Brooklyn, NY 11218",Brooklyn,https://philanthropyleaders.org,(646) 262-6124,501(c)(3) Nonprofit,"The mission of Philanthropy Leaders is to promote the right of every person, particularly children, to grow physically and intellectually in a safe, healthy and nurturing environment. Working globally, we identify projects with measurable benefits and mobilize support from donors across borders. Our priority is to meet the needs of poor and disabled children and their families.",Youth 14-24; Adults 25+; Migrants,"Community service/volunteer opportunities; Legal, job, education and public benefit referrals","Wanllan Mi Wanlle (WMW) is a mutual aid program. Volunteers known as Navigators provide free assistance across a wide range of needs while also serving as trusted listeners and mentors. Services include helping members access public benefits such as Medicaid, state and NYC identification cards, and English-language programs, as well as referrals to additional community resources. Clients also receive support for civil and criminal legal matters, unfair medical bills, employment authorization applications, small-business aid, and housing information, including apartment-sharing opportunities.","11am to 8pm, Monday - Saturday by appointment","495 Flatbush Ave, Brooklyn, NY 11225","Meet and direct clients at reception. Respond to and direct phone inquiries. Participants can serve as navigators helping migrant clients with everyday matters including finding housing, jobs, education and training opportunities. They can also serve as English conversation partners for the majority of clients who are learning English."
Philanthropy Leaders,"495 Flatbush Ave Brooklyn, NY 11225","Wanllan Mi Wanlle (WMW), meaning ""Help Me, I Help You"" in Fulani,","495 Flatbush Ave Brooklyn, NY 11225",Brooklyn,https://philanthropyleaders.org,(646) 262-6124,501(c)(3) Nonprofit,"The mission of Philanthropy Leaders is to promote the right of every person, particularly children, to grow physically and intellectually in a safe, healthy and nurturing environment. Working globally, we identify projects with measurable benefits and mobilize support from donors across borders. Our priority is to meet the needs of poor and disabled children and their families.",Youth 14-24; Adults 25+; Migrants,"Community service/volunteer opportunities; Legal, job, education and public benefit referrals","Wanllan Mi Wanlle (WMW) is a mutual aid program. Volunteers known as Navigators provide free assistance across a wide range of needs while also serving as trusted listeners and mentors. Services include helping members access public benefits such as Medicaid, state and NYC identification cards, and English-language programs, as well as referrals to additional community resources. Clients also receive support for civil and criminal legal matters, unfair medical bills, employment authorization applications, small-business aid, and housing information, including apartment-sharing opportunities.","11am to 8pm, Monday - Saturday by appointment","495 Flatbush Ave, Brooklyn, NY 11225","Meet and direct clients at reception. Respond to and direct phone inquiries. Participants can serve as navigators helping migrant clients with everyday matters including finding housing, jobs, education and training opportunities. They can also serve as English conversation partners for the majority of clients who are learning English."
"Polonian's Organized to Minister to Our Community, Inc.","66-58 Fresh Pond Rd Ridgewood, NY 11385",POMOC,"66-58 Fresh Pond Rd Ridgewood, NY 11385",Queens,https://pomocnyc.org,(718) 366-5365,501(c)(3) Nonprofit,"Polonians Organized to Minister to Our Community, Inc. (POMOC) has been a trusted community-based organization in New York City for over four decades. Our mission is to improve the quality of life for low-income individuals, immigrants, seniors, persons with disabilities, and youth by providing culturally and linguistically appropriate health, housing, legal, and social services. We empower our clients to achieve self-sufficiency and independence through advocacy, education, and direct support.
We have extensive experience assisting consumers with Medicaid, Medicare, and other public benefits. Our staff routinely helps clients navigate complex health insurance systems, resolve billing issues, and appeal coverage denials. We work closely with the Department for the Aging (DFTA), the Department of Health and Mental Hygiene (DOHMH), and the Community Service Society of New York (CSS).",SNAP/Employment Program Participants; Youth 14-24; Adults 25+; Older Adults 50+; Individuals with disabilities,Community service/volunteer opportunities; Administrative/office support; Shelter/housing support,"POMOC has over 10 years of experience supporting the Managed Care Consumer Assistance Program (MCCAP) and the Access Health Initiative. Our services include:
? Outreach and education on healthcare access and coverage, including Medicare, Medicaid, PCAP, FPEP, ADAP, and CHIP.
? Navigation assistance for New York City residents to understand health coverage options, access services, resolve billing issues, appeal plan decisions, and secure affordable care.
? Support for aged, blind, and disabled (Non-MAGI) consumers with Access NY applications and Medicaid recertifications.
? Application assistance for Extra Help, EPIC, Medicare Savings Program, and enrollment in Medicare Parts A, B, C, D, and Medigap policies.
? Guidance for undocumented immigrants to access free or low-cost care through hospital financial assistance, NYC Care, HHC options, federally qualified health centers, and prescription drug programs.
? Referrals to social support and healthcare-related services within and outside our organization to address broader consumer needs.
We assist with applications for the SNAP, Fair Fare and Affordable Housing Programs.",Monday - Friday 9am -5pm,"66-58 Fresh Pond Rd  Ridgewood, NY 11385","Support community outreach, administrative tasks, and direct service programs that assist individuals and families in need. Duties may include helping with client intake, organizing and partaking in community events, distributing resources and providing general support for Nonprofit operations."
